LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,0.6865671641791045,27.138610363006592,0.46428571428571425,10.036028623580933,0.7352941176470588,10.886245250701904,0.46428571428571425,10.242219924926758
Mother,0.4565217391304347,21.582887887954712,0.7368421052631579,10.118791341781616,0.125,11.806996583938599,0.7368421052631579,10.241681814193726
Brother,1.0,21.768922090530396,0.8363636363636363,10.038618326187134,0.2857142857142857,10.461719989776611,0.8363636363636363,10.035549402236938
Father,0.36585365853658536,21.763123273849487,0.33333333333333337,10.174215078353882,0.23529411764705882,10.701659440994263,0.33333333333333337,10.283530473709106
Grandgrandfather,0.7727272727272727,21.76585078239441,0.9444444444444444,10.468704223632812,0.7407407407407407,11.30378246307373,0.9444444444444444,10.638091087341309
Grandson ⊔ (∃ hasSibling.(Female ⊓ (∀ married.Son))),0.5822784810126582,23.379675149917603,0.41935483870967744,10.164893627166748,0.11538461538461538,10.480009317398071,0.9347826086956522,10.190523862838745
Grandson ⊔ (∃ hasSibling.(Parent ⊓ (¬Grandson))),0.5858585858585859,22.09009838104248,0.5,11.688929796218872,0.5,10.511784553527832,0.5,11.544574737548828
Grandson ⊔ (∃ hasSibling.(Grandmother ⊔ (∀ hasSibling.(¬Grandparent)))),0.8427672955974842,21.87203621864319,0.0,10.026665449142456,0.5619834710743802,12.13210678100586,0.0,10.110100507736206
Brother ⊔ (∃ married.(Grandparent ⊓ (∃ married.(¬Granddaughter)))),0.6956521739130435,21.900590419769287,0.35514018691588783,10.037189245223999,0.27199999999999996,10.678509712219238,0.35514018691588783,10.047055721282959
Parent ⊓ (∃ hasSibling.(¬Grandchild)),0.6153846153846153,22.919992685317993,0.0,10.193727016448975,0.0,13.342530012130737,0.0,10.117100477218628
