LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
((dna ⊓ (∃DELTA-H.Thing)) ⊔ (pathwayStep ⊓ (∀DB-VERSION.Thing))),1.0,0.0,3.7247326374053955,0.0,1.0,0.0,0.5999939441680908,0.0,1.0,0.0,30.003036737442017,0.0,1.0,0.0,0.6035494804382324,0.0
((pathwayStep ⊓ (∀SPONTANEOUS.Thing)) ⊔ (rna ⊓ (∀PH.Thing))),1.0,0.0,1.2558257579803467,0.0,1.0,0.0,0.49117207527160645,0.0,1.0,0.0,32.48724842071533,0.0,1.0,0.0,0.4707813262939453,0.0
((pathwayStep ⊓ (∀SPONTANEOUS.Thing)) ⊔ (rna ⊓ (∀AVAILABILITY.Thing))),1.0,0.0,1.2006561756134033,0.0,1.0,0.0,0.5294256210327148,0.0,1.0,0.0,24.300797700881958,0.0,1.0,0.0,0.46271443367004395,0.0
(protein ⊓ (∀LEFT.Thing)),,,,,1.0,0.0,0.44162774085998535,0.0,1.0,0.0,15.698813438415527,0.0,1.0,0.0,0.4160630702972412,0.0
((complex ⊓ (∀TITLE.Thing)) ⊔ (sequenceInterval ⊓ (∃URL.Thing))),1.0,0.0,31.845110416412354,0.0,1.0,0.0,0.33842039108276367,0.0,1.0,0.0,14.682535886764526,0.0,1.0,0.0,0.3438429832458496,0.0
((pathwayStep ⊓ (∀DELTA-G.Thing)) ⊔ (transportWithBiochemicalReaction ⊓ (∀CONFIDENCE.Thing))),1.0,0.0,1.011944055557251,0.0,1.0,0.0,0.4591970443725586,0.0,1.0,0.0,22.829010725021362,0.0,1.0,0.0,0.4672420024871826,0.0
(relationshipXref ⊓ (∀SPONTANEOUS.Thing)),0.8387096774193548,0.0,89.89176535606384,0.0,1.0,0.0,0.7259933948516846,0.0,1.0,0.0,9.7091383934021,0.0,1.0,0.0,0.7360029220581055,0.0
(pathwayStep ⊓ (∀SOURCE.Thing)),1.0,0.0,1.0435826778411865,0.0,1.0,0.0,0.5369431972503662,0.0,1.0,0.0,30.073474407196045,0.0,1.0,0.0,0.4540376663208008,0.0
((∀SEQUENCE-INTERVAL-BEGIN.Thing) ⊓ (protein ⊓ (∀EVIDENCE.Thing))),1.0,0.0,0.8036007881164551,0.0,1.0,0.0,0.41250157356262207,0.0,1.0,0.0,20.504672288894653,0.0,1.0,0.0,0.2994406223297119,0.0
((dna ⊓ (∀CONTROLLED.Thing)) ⊔ (pathwayStep ⊓ (∀CELLULAR-LOCATION.Thing))),1.0,0.0,1.0252676010131836,0.0,1.0,0.0,0.49545931816101074,0.0,1.0,0.0,24.198877573013306,0.0,1.0,0.0,0.3777484893798828,0.0
