LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
((dna ⊓ (∃DELTA-H.Thing)) ⊔ (pathwayStep ⊓ (∀DB-VERSION.Thing))),1.0,0.0,4.638904571533203,0.0,1.0,0.0,0.8841643333435059,0.0,1.0,0.0,3.277813196182251,0.0,1.0,0.0,0.8314168453216553,0.0
((pathwayStep ⊓ (∀SPONTANEOUS.Thing)) ⊔ (rna ⊓ (∀PH.Thing))),1.0,0.0,1.8985445499420166,0.0,1.0,0.0,0.8488218784332275,0.0,1.0,0.0,2.1847660541534424,0.0,1.0,0.0,0.9363062381744385,0.0
((pathwayStep ⊓ (∀SPONTANEOUS.Thing)) ⊔ (rna ⊓ (∀AVAILABILITY.Thing))),1.0,0.0,2.0093958377838135,0.0,1.0,0.0,0.8704347610473633,0.0,1.0,0.0,2.6418943405151367,0.0,1.0,0.0,0.8225610256195068,0.0
(protein ⊓ (∀LEFT.Thing)),,,,,1.0,0.0,0.6315269470214844,0.0,1.0,0.0,2.459099292755127,0.0,1.0,0.0,0.6373827457427979,0.0
((complex ⊓ (∀TITLE.Thing)) ⊔ (sequenceInterval ⊓ (∃URL.Thing))),1.0,0.0,13.936783790588379,0.0,1.0,0.0,0.5571577548980713,0.0,1.0,0.0,2.9653918743133545,0.0,1.0,0.0,0.5326440334320068,0.0
((pathwayStep ⊓ (∀DELTA-G.Thing)) ⊔ (transportWithBiochemicalReaction ⊓ (∀CONFIDENCE.Thing))),1.0,0.0,1.964263916015625,0.0,1.0,0.0,0.8564691543579102,0.0,1.0,0.0,2.585989236831665,0.0,1.0,0.0,0.8330330848693848,0.0
(relationshipXref ⊓ (∀SPONTANEOUS.Thing)),0.9285714285714286,0.0,102.03512167930603,0.0,1.0,0.0,1.2974512577056885,0.0,1.0,0.0,0.26719236373901367,0.0,1.0,0.0,1.415346384048462,0.0
(pathwayStep ⊓ (∀SOURCE.Thing)),1.0,0.0,1.603928804397583,0.0,1.0,0.0,0.7228538990020752,0.0,1.0,0.0,2.4449915885925293,0.0,1.0,0.0,0.6693143844604492,0.0
((∀SEQUENCE-INTERVAL-BEGIN.Thing) ⊓ (protein ⊓ (∀EVIDENCE.Thing))),1.0,0.0,1.248732089996338,0.0,1.0,0.0,0.4848461151123047,0.0,1.0,0.0,2.349902868270874,0.0,1.0,0.0,0.5586965084075928,0.0
((dna ⊓ (∀CONTROLLED.Thing)) ⊔ (pathwayStep ⊓ (∀CELLULAR-LOCATION.Thing))),1.0,0.0,1.3994836807250977,0.0,1.0,0.0,0.6605370044708252,0.0,1.0,0.0,2.053950548171997,0.0,1.0,0.0,0.7224390506744385,0.0
