LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
((dna ⊓ (∃DELTA-H.Thing)) ⊔ (pathwayStep ⊓ (∀DB-VERSION.Thing))),1.0,0.0,3.1979238986968994,0.0,1.0,0.0,0.5205061435699463,0.0,1.0,0.0,1.6587026119232178,0.0,1.0,0.0,0.3696141242980957,0.0
((pathwayStep ⊓ (∀SPONTANEOUS.Thing)) ⊔ (rna ⊓ (∀PH.Thing))),1.0,0.0,0.9210453033447266,0.0,1.0,0.0,0.4628939628601074,0.0,1.0,0.0,1.1444694995880127,0.0,1.0,0.0,0.47252368927001953,0.0
((pathwayStep ⊓ (∀SPONTANEOUS.Thing)) ⊔ (rna ⊓ (∀AVAILABILITY.Thing))),1.0,0.0,0.9571189880371094,0.0,1.0,0.0,0.351945161819458,0.0,1.0,0.0,3.059525728225708,0.0,1.0,0.0,0.38913893699645996,0.0
(protein ⊓ (∀LEFT.Thing)),,,,,1.0,0.0,0.3127877712249756,0.0,1.0,0.0,2.152453660964966,0.0,1.0,0.0,0.30084872245788574,0.0
((complex ⊓ (∀TITLE.Thing)) ⊔ (sequenceInterval ⊓ (∃URL.Thing))),1.0,0.0,6.850396394729614,0.0,1.0,0.0,0.24953842163085938,0.0,1.0,0.0,2.1559576988220215,0.0,1.0,0.0,0.2652881145477295,0.0
((pathwayStep ⊓ (∀DELTA-G.Thing)) ⊔ (transportWithBiochemicalReaction ⊓ (∀CONFIDENCE.Thing))),1.0,0.0,0.798375129699707,0.0,1.0,0.0,0.34829258918762207,0.0,1.0,0.0,1.2276954650878906,0.0,1.0,0.0,0.3553471565246582,0.0
(relationshipXref ⊓ (∀SPONTANEOUS.Thing)),0.9285714285714286,0.0,68.62652945518494,0.0,1.0,0.0,0.6353983879089355,0.0,1.0,0.0,0.08209419250488281,0.0,1.0,0.0,0.5378475189208984,0.0
(pathwayStep ⊓ (∀SOURCE.Thing)),1.0,0.0,0.7230238914489746,0.0,1.0,0.0,0.34081387519836426,0.0,1.0,0.0,1.2877943515777588,0.0,1.0,0.0,0.39397192001342773,0.0
((∀SEQUENCE-INTERVAL-BEGIN.Thing) ⊓ (protein ⊓ (∀EVIDENCE.Thing))),1.0,0.0,0.5955507755279541,0.0,1.0,0.0,0.29111695289611816,0.0,1.0,0.0,2.856881856918335,0.0,1.0,0.0,0.2271437644958496,0.0
((dna ⊓ (∀CONTROLLED.Thing)) ⊔ (pathwayStep ⊓ (∀CELLULAR-LOCATION.Thing))),1.0,0.0,0.7437245845794678,0.0,1.0,0.0,0.33088207244873047,0.0,1.0,0.0,1.1479754447937012,0.0,1.0,0.0,0.33055806159973145,0.0
