LP,F1-roces-mean,F1-roces-std,RT-roces-mean,RT-roces-std
Grandgranddaughter,0.0,0.0,0.22371602058410645,0.0
Grandmother,0.0,0.0,0.2743978500366211,0.0
Grandson,1.0,0.0,0.23187923431396484,0.0
Cousin,0.39999999999999997,0.0,0.2646303176879883,0.0
Daughter,0.0,0.0,0.23723411560058594,0.0
Grandparent ⊔ (Person ⊓ (Grandfather ⊔ (∃ married.(¬Grandson)))),0.2755102040816327,0.0,0.22832250595092773,0.0
Grandchild ⊔ (¬Child),0.3891402714932127,0.0,0.2075812816619873,0.0
Father ⊓ (∃ hasSibling.Grandmother),0.07843137254901962,0.0,0.2663552761077881,0.0
Male ⊓ (∃ hasChild.Grandmother),0.0,0.0,0.16141939163208008,0.0
Daughter ⊓ (∃ hasChild.(¬Father)),0.0,0.0,0.19992804527282715,0.0
