LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-nces2-mean,F1-nces2-std,RT-nces2-mean,RT-nces2-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
Grandgranddaughter,1.0,0.0,3.36213755607605,0.0,1.0,0.0,0.2842891216278076,0.0,1.0,0.0,9.96094298362732,0.0,0.33333333333333337,0.0,0.3354358673095703,0.0,1.0,0.0,0.3231971263885498,0.0
Grandmother,1.0,0.0,0.4340944290161133,0.0,1.0,0.0,0.25241661071777344,0.0,1.0,0.0,8.769829034805298,0.0,0.7954545454545454,0.0,0.4149808883666992,0.0,1.0,0.0,0.15486693382263184,0.0
Grandson,1.0,0.0,0.5303902626037598,0.0,1.0,0.0,0.16315793991088867,0.0,1.0,0.0,6.851320505142212,0.0,0.86,0.0,0.30664539337158203,0.0,1.0,0.0,0.3076789379119873,0.0
Cousin,0.6666666666666666,0.0,61.318835973739624,0.0,0.6666666666666666,0.0,61.14769268035889,0.0,0.6666666666666666,0.0,8.854885339736938,0.0,0.5970149253731343,0.0,0.3077216148376465,0.0,0.6666666666666666,0.0,60.15545415878296,0.0
Daughter,1.0,0.0,0.34754157066345215,0.0,1.0,0.0,0.2147808074951172,0.0,1.0,0.0,8.960809707641602,0.0,0.4716981132075472,0.0,0.3058929443359375,0.0,1.0,0.0,0.12366533279418945,0.0
Grandparent ⊔ (Person ⊓ (Grandfather ⊔ (∃ married.(¬Grandson)))),0.9300911854103344,0.0,65.51502990722656,0.0,0.9300911854103344,0.0,60.26195406913757,0.0,0.9300911854103344,0.0,21.063589096069336,0.0,0.46351931330472107,0.0,0.4092874526977539,0.0,0.9300911854103344,0.0,62.490100383758545,0.0
Grandchild ⊔ (¬Child),0.9368421052631579,0.0,65.41950917243958,0.0,0.9368421052631579,0.0,82.41039752960205,0.0,0.9368421052631579,0.0,12.11246657371521,0.0,0.6201550387596899,0.0,0.3281865119934082,0.0,0.9368421052631579,0.0,81.4299111366272,0.0
Father ⊓ (∃ hasSibling.Grandmother),0.7000000000000001,0.0,68.21083378791809,0.0,1.0,0.0,18.108017683029175,0.0,1.0,0.0,6.172292470932007,0.0,0.045454545454545456,0.0,0.4801950454711914,0.0,1.0,0.0,17.603668928146362,0.0
Male ⊓ (∃ hasChild.Grandmother),0.17543859649122806,0.0,61.42521357536316,0.0,1.0,0.0,19.050641536712646,0.0,1.0,0.0,10.96893835067749,0.0,0.0,0.0,0.4400911331176758,0.0,1.0,0.0,19.005502223968506,0.0
Daughter ⊓ (∃ hasChild.(¬Father)),0.8372093023255814,0.0,73.96010947227478,0.0,0.9361702127659575,0.0,63.90199327468872,0.0,0.9361702127659575,0.0,33.975393295288086,0.0,0.2352941176470588,0.0,0.4271981716156006,0.0,0.9361702127659575,0.0,63.07998251914978,0.0
