LP,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std
Grandgranddaughter,1.0,0.0,4.450227499008179,0.0
Grandmother,1.0,0.0,1.978792428970337,0.0
Grandson,1.0,0.0,1.8815996646881104,0.0
Cousin,0.6666666666666666,0.0,1.9955673217773438,0.0
Daughter,1.0,0.0,2.334505319595337,0.0
Grandparent ⊔ (Person ⊓ (Grandfather ⊔ (∃ married.(¬Grandson)))),0.9300911854103344,0.0,5.333767414093018,0.0
Grandchild ⊔ (¬Child),0.9368421052631579,0.0,1.5704030990600586,0.0
Father ⊓ (∃ hasSibling.Grandmother),1.0,0.0,3.6950647830963135,0.0
Male ⊓ (∃ hasChild.Grandmother),1.0,0.0,3.0312674045562744,0.0
Daughter ⊓ (∃ hasChild.(¬Father)),,,,
Brother ⊔ (∃ married.(Grandson ⊔ (∀ hasChild.(¬Grandson)))),,,,
Grandson ⊔ (∃ hasSibling.(Grandson ⊔ (∃ hasParent.Grandchild))),,,,
Grandfather ⊔ (∃ hasChild.(¬Mother)),,,,
Person ⊓ (Sister ⊔ (∃ married.(¬Son))),,,,
Brother ⊔ (∃ married.(Grandchild ⊓ (∃ hasSibling.Parent))),,,,
