LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-nces2-mean,F1-nces2-std,RT-nces2-mean,RT-nces2-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
Grandgranddaughter,1.0,0.0,2.8375678062438965,0.0,1.0,0.0,0.382413387298584,0.0,1.0,0.0,2.601872205734253,0.0,0.0,0.0,0.4071822166442871,0.0,1.0,0.0,0.16141819953918457,0.0
Grandmother,1.0,0.0,0.38950085639953613,0.0,1.0,0.0,0.10735726356506348,0.0,1.0,0.0,2.4318010807037354,0.0,0.0,0.0,0.25844359397888184,0.0,1.0,0.0,0.226593017578125,0.0
Grandson,1.0,0.0,0.35736536979675293,0.0,1.0,0.0,0.11932253837585449,0.0,1.0,0.0,1.7133803367614746,0.0,0.45070422535211263,0.0,0.2987523078918457,0.0,1.0,0.0,0.26779866218566895,0.0
Cousin,0.6796116504854368,0.0,60.11725425720215,0.0,0.7932960893854749,0.0,60.10733604431152,0.0,0.6666666666666666,0.0,2.015061378479004,0.0,0.2882882882882883,0.0,0.3001432418823242,0.0,0.7932960893854749,0.0,63.02863073348999,0.0
Daughter,1.0,0.0,0.3161191940307617,0.0,1.0,0.0,0.09439945220947266,0.0,1.0,0.0,1.820228099822998,0.0,0.0,0.0,0.28865599632263184,0.0,1.0,0.0,0.1005399227142334,0.0
Grandparent ⊔ (Person ⊓ (Grandfather ⊔ (∃ married.(¬Grandson)))),0.9300911854103344,0.0,76.51850509643555,0.0,0.9300911854103344,0.0,60.24743103981018,0.0,0.9300911854103344,0.0,4.059507846832275,0.0,0.5633802816901409,0.0,0.31574487686157227,0.0,0.9300911854103344,0.0,60.30069613456726,0.0
Grandchild ⊔ (¬Child),0.9404761904761905,0.0,60.06303882598877,0.0,0.9404761904761905,0.0,60.02314305305481,0.0,0.9368421052631579,0.0,2.5041868686676025,0.0,0.42857142857142855,0.0,0.32938265800476074,0.0,0.9404761904761905,0.0,60.02140188217163,0.0
Father ⊓ (∃ hasSibling.Grandmother),0.761904761904762,0.0,64.67236232757568,0.0,1.0,0.0,3.3691399097442627,0.0,1.0,0.0,1.0033149719238281,0.0,0.23529411764705882,0.0,0.31815075874328613,0.0,1.0,0.0,3.483607530593872,0.0
Male ⊓ (∃ hasChild.Grandmother),1.0,0.0,58.934439182281494,0.0,1.0,0.0,3.486255645751953,0.0,1.0,0.0,1.1917271614074707,0.0,0.2857142857142857,0.0,0.3135411739349365,0.0,1.0,0.0,3.5032753944396973,0.0
Daughter ⊓ (∃ hasChild.(¬Father)),0.8372093023255814,0.0,76.33809041976929,0.0,0.9361702127659575,0.0,60.44770693778992,0.0,0.9361702127659575,0.0,2.176926374435425,0.0,0.0,0.0,0.3364243507385254,0.0,0.9361702127659575,0.0,60.17935276031494,0.0
