LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-nces2-mean,F1-nces2-std,RT-nces2-mean,RT-nces2-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
Grandgranddaughter,1.0,0.0,2.215580940246582,0.0,1.0,0.0,0.23642516136169434,0.0,1.0,0.0,1.1995234489440918,0.0,0.08695652173913045,0.0,0.39551305770874023,0.0,1.0,0.0,0.23400068283081055,0.0
Grandmother,1.0,0.0,0.4961676597595215,0.0,1.0,0.0,0.10348653793334961,0.0,0.8641975308641976,0.0,1.1759452819824219,0.0,1.0,0.0,0.34804224967956543,0.0,1.0,0.0,0.09905648231506348,0.0
Grandson,1.0,0.0,0.3636293411254883,0.0,1.0,0.0,0.09288930892944336,0.0,0.9772727272727273,0.0,0.5529420375823975,0.0,0.0,0.0,0.2828369140625,0.0,1.0,0.0,0.1180272102355957,0.0
Cousin,0.6666666666666666,0.0,60.28235864639282,0.0,0.6666666666666666,0.0,60.11889147758484,0.0,0.6666666666666666,0.0,0.717843770980835,0.0,0.13186813186813187,0.0,0.3036680221557617,0.0,0.6666666666666666,0.0,61.12218356132507,0.0
Daughter,1.0,0.0,0.19987106323242188,0.0,1.0,0.0,0.10256385803222656,0.0,0.9122807017543859,0.0,0.6706619262695312,0.0,0.39999999999999997,0.0,0.2591826915740967,0.0,1.0,0.0,0.07182574272155762,0.0
Grandparent ⊔ (Person ⊓ (Grandfather ⊔ (∃ married.(¬Grandson)))),0.8619718309859155,0.0,60.9989378452301,0.0,0.8619718309859155,0.0,62.10879445075989,0.0,0.8619718309859155,0.0,0.6435327529907227,0.0,0.3723404255319149,0.0,0.31223297119140625,0.0,0.8619718309859155,0.0,62.94822859764099,0.0
Grandchild ⊔ (¬Child),0.9368421052631579,0.0,61.15256667137146,0.0,0.9368421052631579,0.0,63.15188241004944,0.0,0.9368421052631579,0.0,0.7206685543060303,0.0,0.2535211267605634,0.0,0.3313329219818115,0.0,0.9368421052631579,0.0,60.02695298194885,0.0
Father ⊓ (∃ hasSibling.Grandmother),0.4210526315789474,0.0,60.39526057243347,0.0,0.4210526315789474,0.0,60.32998538017273,0.0,0.18604651162790695,0.0,0.6949477195739746,0.0,0.0,0.0,0.3782954216003418,0.0,0.4210526315789474,0.0,62.504132986068726,0.0
Male ⊓ (∃ hasChild.Grandmother),0.4444444444444445,0.0,60.5589542388916,0.0,0.4444444444444445,0.0,64.87451434135437,0.0,0.17543859649122806,0.0,1.0426957607269287,0.0,0.0,0.0,0.38216423988342285,0.0,0.4444444444444445,0.0,61.937114000320435,0.0
Daughter ⊓ (∃ hasChild.(¬Father)),0.5945945945945945,0.0,60.369956254959106,0.0,0.5945945945945945,0.0,61.12792778015137,0.0,0.5945945945945945,0.0,1.0017306804656982,0.0,0.38596491228070173,0.0,0.4225039482116699,0.0,0.5945945945945945,0.0,60.287591218948364,0.0
