LP,F1-OCEL-mean,F1-OCEL-std,RT-OCEL-mean,RT-OCEL-std,F1-CELOE-mean,F1-CELOE-std,RT-CELOE-mean,RT-CELOE-std,F1-Evo-mean,F1-Evo-std,RT-Evo-mean,RT-Evo-std,F1-nces2-mean,F1-nces2-std,RT-nces2-mean,RT-nces2-std,F1-clip-mean,F1-clip-std,RT-clip-mean,RT-clip-std
Grandgranddaughter,1.0,0.0,0.012234210968017578,0.0,1.0,0.0,0.007843255996704102,0.0,1.0,0.0,0.042977094650268555,0.0,0.9444444444444444,0.0,0.1928262710571289,0.0,1.0,0.0,0.021233558654785156,0.0
Grandmother,1.0,0.0,0.01427316665649414,0.0,1.0,0.0,0.00523686408996582,0.0,1.0,0.0,0.04051041603088379,0.0,0.21818181818181817,0.0,0.15335488319396973,0.0,1.0,0.0,0.008400678634643555,0.0
Grandson,1.0,0.0,0.004847526550292969,0.0,1.0,0.0,0.004369974136352539,0.0,1.0,0.0,0.038384437561035156,0.0,0.86,0.0,0.14226222038269043,0.0,1.0,0.0,0.01654505729675293,0.0
Cousin,0.696078431372549,0.0,60.03094553947449,0.0,0.7932960893854749,0.0,60.244147539138794,0.0,0.7932960893854749,0.0,0.11171293258666992,0.0,0.5970149253731343,0.0,0.1637582778930664,0.0,0.7932960893854749,0.0,60.060880184173584,0.0
Daughter,1.0,0.0,0.02587890625,0.0,1.0,0.0,0.0038263797760009766,0.0,1.0,0.0,0.04103231430053711,0.0,0.6915887850467289,0.0,0.15927934646606445,0.0,1.0,0.0,0.011701583862304688,0.0
Grandparent ⊔ (Person ⊓ (Grandfather ⊔ (∃ married.(¬Grandson)))),0.9867549668874172,0.0,43.145246744155884,0.0,0.9867549668874172,0.0,60.424962282180786,0.0,0.9300911854103344,0.0,0.10264992713928223,0.0,0.46351931330472107,0.0,0.1860060691833496,0.0,0.9867549668874172,0.0,60.48455548286438,0.0
Grandchild ⊔ (¬Child),0.9861495844875346,0.0,62.5238139629364,0.0,1.0,0.0,1.0123567581176758,0.0,0.9368421052631579,0.0,0.08338260650634766,0.0,0.6201550387596899,0.0,0.2234656810760498,0.0,1.0,0.0,1.0676109790802002,0.0
Father ⊓ (∃ hasSibling.Grandmother),1.0,0.0,26.649083375930786,0.0,1.0,0.0,0.13931512832641602,0.0,1.0,0.0,0.040338993072509766,0.0,0.045454545454545456,0.0,0.16205501556396484,0.0,1.0,0.0,0.17057490348815918,0.0
Male ⊓ (∃ hasChild.Grandmother),1.0,0.0,5.433198690414429,0.0,1.0,0.0,0.24336671829223633,0.0,1.0,0.0,0.03245663642883301,0.0,0.0,0.0,0.18118691444396973,0.0,1.0,0.0,0.24808144569396973,0.0
Daughter ⊓ (∃ hasChild.(¬Father)),1.0,0.0,25.841509580612183,0.0,1.0,0.0,0.18239307403564453,0.0,0.9361702127659575,0.0,0.06749868392944336,0.0,0.2352941176470588,0.0,0.1935262680053711,0.0,1.0,0.0,0.2080073356628418,0.0
