LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,1.0,0.08290839195251465,1.0,0.011020660400390625,1.0,0.046210289001464844,1.0,0.012419700622558594
Mother,1.0,0.002301931381225586,1.0,0.0016400814056396484,1.0,0.04938650131225586,1.0,0.0016396045684814453
Brother,1.0,0.002376079559326172,1.0,0.0016627311706542969,1.0,0.04848313331604004,1.0,0.0016851425170898438
Father,1.0,0.0022270679473876953,1.0,0.001508951187133789,1.0,0.05048489570617676,1.0,0.0016589164733886719
Grandgrandfather,,,,,1.0,0.04748201370239258,,
Grandgranddaughter,1.0,0.00203704833984375,1.0,0.0014183521270751953,1.0,0.04086494445800781,1.0,0.0015568733215332031
Grandfather,1.0,0.0019087791442871094,1.0,0.0014731884002685547,1.0,0.046045780181884766,1.0,0.001528024673461914
PersonWithASibling,1.0,0.0020291805267333984,1.0,0.0013039112091064453,1.0,0.048668861389160156,1.0,0.001434326171875
Uncle,,,,,,,,
Granddaughter,1.0,0.001994609832763672,1.0,0.0016057491302490234,1.0,0.04651808738708496,1.0,0.0015544891357421875
Daughter,1.0,0.002126455307006836,1.0,0.002116680145263672,1.0,0.052330970764160156,1.0,0.001697540283203125
Grandgrandson,,,,,1.0,0.08956623077392578,,
Sister,1.0,0.0018777847290039062,1.0,0.0014333724975585938,,,1.0,0.0020003318786621094
Cousin,,,,,,,,
Son,1.0,0.0025250911712646484,1.0,0.0016086101531982422,1.0,0.04676222801208496,1.0,0.001995563507080078
