LP,F1-OCEL-mean,RT-OCEL-mean,F1-CELOE-mean,RT-CELOE-mean,F1-Evo-mean,RT-Evo-mean,F1-clip-mean,RT-clip-mean
Grandson,1.0,0.19165802001953125,1.0,0.007654905319213867,1.0,0.042227745056152344,1.0,0.008141279220581055
Mother,1.0,0.005196809768676758,1.0,0.0032978057861328125,1.0,0.044341087341308594,1.0,0.0035011768341064453
Brother,1.0,0.0037665367126464844,1.0,0.0023794174194335938,1.0,0.0413355827331543,1.0,0.002294778823852539
Father,1.0,0.004585981369018555,1.0,0.002572774887084961,1.0,0.04384303092956543,1.0,0.0029268264770507812
Grandgrandfather,1.0,3.2183611392974854,1.0,0.24268031120300293,1.0,0.05390620231628418,1.0,0.23100733757019043
Grandgranddaughter,1.0,0.006609439849853516,1.0,0.0027604103088378906,1.0,0.036644935607910156,1.0,0.0030364990234375
Grandfather,1.0,0.0041942596435546875,1.0,0.0024220943450927734,1.0,0.0382542610168457,1.0,0.0026807785034179688
PersonWithASibling,1.0,0.0034525394439697266,1.0,0.0023958683013916016,1.0,0.055428266525268555,1.0,0.0023839473724365234
Uncle,0.8941176470588235,64.43478584289551,0.9047619047619047,13.666491031646729,0.8837209302325582,0.09573149681091309,0.9268292682926829,61.53005886077881
Granddaughter,1.0,0.05495452880859375,1.0,0.007307291030883789,1.0,0.047913312911987305,1.0,0.013775110244750977
Brother ⊔ (∃ married.(Son ⊔ (∀ hasSibling.Parent))),0.9517684887459807,60.00612449645996,0.9498327759197325,62.321776390075684,0.900900900900901,0.10901975631713867,0.9498327759197325,61.64430236816406
(Person ⊓ (Daughter ⊔ (∀ hasSibling.(¬Granddaughter)))) ⊔ (∃ married.(¬Person)),0.981132075471698,63.653669595718384,0.9835164835164836,5.616954803466797,0.9560723514211887,0.09088897705078125,0.9835164835164836,5.733644008636475
Son ⊓ (∀ hasSibling.(¬Father)),1.0,22.768150329589844,1.0,0.5995898246765137,0.9052631578947368,0.09112191200256348,1.0,0.6037399768829346
Grandparent ⊓ (∃ hasSibling.(Grandmother ⊓ (∃ hasChild.Granddaughter))),0.8571428571428571,38.26066851615906,0.7499999999999999,60.66404724121094,0.8571428571428571,0.12984299659729004,0.7499999999999999,60.797492027282715
Sister ⊔ (∃ hasChild.Grandmother),0.8316831683168318,60.100603103637695,0.8349514563106796,60.14681363105774,0.9076923076923077,0.09945535659790039,0.8349514563106796,60.048985958099365
Father ⊓ (∃ married.(¬PersonWithASibling)),1.0,29.24952006340027,1.0,0.4130563735961914,0.787878787878788,0.07756710052490234,1.0,0.4148707389831543
Grandmother ⊔ (∀ married.Mother),1.0,0.6204423904418945,1.0,0.16388201713562012,0.7883817427385892,0.10939216613769531,1.0,0.153184175491333
Brother ⊔ (∃ married.(Male ⊓ (∀ hasParent.(¬PersonWithASibling)))),0.875,60.266270875930786,0.9,61.763160705566406,0.8185654008438819,0.10863852500915527,0.9,60.30433011054993
Grandmother ⊔ (∀ hasSibling.Granddaughter),0.9625,66.79248690605164,0.9625,60.33896255493164,0.9021739130434783,0.09284067153930664,0.9625,60.236751556396484
Brother ⊔ (∃ married.(PersonWithASibling ⊓ (∀ hasChild.Parent))),0.6741573033707865,61.338306188583374,0.6741573033707865,60.07402276992798,0.7642276422764227,0.11411905288696289,0.6741573033707865,60.488688945770264
