LP,F1-OCEL-cache,RT-OCEL-cache,F1-CELOE-cache,RT-CELOE-cache,F1-Evo-cache,RT-Evo-cache,F1-clip-cache,RT-clip-cache,F1-OCEL-no_cache,RT-OCEL-no_cache,F1-CELOE-no_cache,RT-CELOE-no_cache,F1-Evo-no_cache,RT-Evo-no_cache,F1-clip-no_cache,RT-clip-no_cache
Grandson,1.0,0.08204865455627441,1.0,0.013942718505859375,1.0,0.04696488380432129,1.0,0.01154947280883789,1.0,0.01109766960144043,1.0,0.007582902908325195,1.0,0.03892397880554199,1.0,0.009123802185058594
Mother,1.0,0.0027060508728027344,1.0,0.0015990734100341797,1.0,0.046175241470336914,1.0,0.0017385482788085938,1.0,0.00827789306640625,1.0,0.006243228912353516,1.0,0.0489804744720459,1.0,0.003153085708618164
Brother,1.0,0.0017879009246826172,1.0,0.001233816146850586,1.0,0.04495978355407715,1.0,0.00147247314453125,1.0,0.0035810470581054688,1.0,0.0021986961364746094,1.0,0.03613424301147461,1.0,0.002301931381225586
Father,1.0,0.002103567123413086,1.0,0.0014121532440185547,1.0,0.05009603500366211,1.0,0.0015721321105957031,1.0,0.0045545101165771484,1.0,0.0024001598358154297,1.0,0.04099678993225098,1.0,0.0029211044311523438
Grandgrandfather,1.0,4.113950490951538,1.0,0.1587085723876953,1.0,0.038594961166381836,1.0,0.16692113876342773,1.0,2.954000473022461,1.0,0.23168635368347168,0.9444444444444444,0.06136584281921387,1.0,0.23602890968322754
Grandgranddaughter,1.0,0.008735895156860352,1.0,0.001535177230834961,1.0,0.046561241149902344,1.0,0.0015871524810791016,1.0,0.008232593536376953,1.0,0.0027816295623779297,1.0,0.08397912979125977,1.0,0.002590179443359375
Grandfather,1.0,0.0022995471954345703,1.0,0.0017695426940917969,1.0,0.04441571235656738,1.0,0.0015535354614257812,1.0,0.0044536590576171875,1.0,0.003434896469116211,1.0,0.039011240005493164,1.0,0.002549886703491211
PersonWithASibling,1.0,0.0019884109497070312,1.0,0.0013914108276367188,1.0,0.05611729621887207,1.0,0.0014486312866210938,1.0,0.0032579898834228516,1.0,0.003783702850341797,1.0,0.044312477111816406,1.0,0.0025615692138671875
Uncle,0.8837209302325582,121.14026260375977,0.8837209302325582,8.121094703674316,0.8837209302325582,0.07703328132629395,0.9268292682926829,120.02717804908752,0.9047619047619047,120.98076558113098,0.9047619047619047,10.517993450164795,0.9620253164556963,0.17301154136657715,0.9047619047619047,120.06809496879578
Granddaughter,1.0,0.044708251953125,1.0,0.0066111087799072266,1.0,0.05170321464538574,1.0,0.011841535568237305,1.0,0.10768270492553711,1.0,0.0053234100341796875,1.0,0.04333949089050293,1.0,0.009923219680786133
Daughter,1.0,0.0019593238830566406,1.0,0.0013895034790039062,1.0,0.04477882385253906,1.0,0.00160980224609375,1.0,0.004490375518798828,1.0,0.0027053356170654297,1.0,0.05155038833618164,1.0,0.003002643585205078
Grandgrandson,1.0,0.5410492420196533,1.0,0.16655278205871582,1.0,0.04381585121154785,1.0,0.12044358253479004,1.0,1.6673626899719238,1.0,0.2149972915649414,0.9411764705882353,0.08831000328063965,1.0,0.21275615692138672
Sister,1.0,0.0033903121948242188,1.0,0.0014274120330810547,1.0,0.047147274017333984,1.0,0.0015411376953125,1.0,0.0068721771240234375,1.0,0.002727031707763672,1.0,0.04778003692626953,1.0,0.002692699432373047
Cousin,0.711340206185567,30.56677794456482,0.7932960893854749,120.0251076221466,0.6666666666666666,0.0923917293548584,0.7262569832402236,120.90861248970032,0.6926829268292682,38.255722522735596,0.7932960893854749,120.23255205154419,0.7932960893854749,0.06696748733520508,0.7932960893854749,120.16937208175659
Son,1.0,0.042784690856933594,1.0,0.003913402557373047,1.0,0.05135631561279297,1.0,0.007689237594604492,1.0,0.04960751533508301,1.0,0.0043599605560302734,1.0,0.04467654228210449,1.0,0.004530906677246094
Aunt,0.9010989010989011,123.45719003677368,0.8039215686274509,120.01688170433044,0.8039215686274509,0.08833694458007812,0.8433734939759037,120.04744172096252,0.8372093023255814,41.93711519241333,0.8367346938775511,120.12863874435425,0.8039215686274509,0.09395098686218262,0.8367346938775511,120.23327827453613
Grandgrandmother,1.0,0.5438308715820312,1.0,0.1324920654296875,1.0,0.06299090385437012,1.0,0.13823556900024414,1.0,1.7986299991607666,1.0,0.29108381271362305,0.9444444444444444,0.0759429931640625,1.0,0.2764577865600586
Grandmother,1.0,0.0030105113983154297,1.0,0.00146484375,1.0,0.05230998992919922,1.0,0.0017066001892089844,1.0,0.007467508316040039,1.0,0.0026543140411376953,1.0,0.03984427452087402,1.0,0.0025107860565185547
