LP,F1-OCEL-cache,RT-OCEL-cache,F1-CELOE-cache,RT-CELOE-cache,F1-Evo-cache,RT-Evo-cache,F1-clip-cache,RT-clip-cache,F1-OCEL-no_cache,RT-OCEL-no_cache,F1-CELOE-no_cache,RT-CELOE-no_cache,F1-Evo-no_cache,RT-Evo-no_cache,F1-clip-no_cache,RT-clip-no_cache
Grandson,1.0,0.09108448028564453,1.0,0.0139312744140625,1.0,0.05273008346557617,1.0,0.011350631713867188,1.0,0.011667251586914062,1.0,0.00778961181640625,1.0,0.03996729850769043,1.0,0.007354259490966797
Mother,1.0,0.002176046371459961,1.0,0.0014681816101074219,1.0,0.04585003852844238,1.0,0.0018696784973144531,1.0,0.004725217819213867,1.0,0.004429817199707031,1.0,0.04407310485839844,1.0,0.003320455551147461
Brother,1.0,0.0017552375793457031,1.0,0.0011749267578125,1.0,0.048536062240600586,1.0,0.001642465591430664,1.0,0.004195690155029297,1.0,0.0021889209747314453,1.0,0.03977179527282715,1.0,0.0021398067474365234
Father,1.0,0.002279520034790039,1.0,0.0018031597137451172,1.0,0.056442975997924805,1.0,0.0015223026275634766,1.0,0.004408121109008789,1.0,0.0029959678649902344,1.0,0.042706966400146484,1.0,0.0029723644256591797
Grandgrandfather,,,,,1.0,0.04211235046386719,,,1.0,2.696073293685913,1.0,0.21132898330688477,1.0,0.03476762771606445,1.0,0.20687103271484375
Grandgranddaughter,1.0,0.002225160598754883,1.0,0.0014951229095458984,,,1.0,0.0022094249725341797,1.0,0.006070852279663086,1.0,0.002479076385498047,1.0,0.038071393966674805,1.0,0.0027065277099609375
Grandfather,1.0,0.002057790756225586,1.0,0.0015666484832763672,1.0,0.06703877449035645,1.0,0.0041849613189697266,1.0,0.004069328308105469,1.0,0.0024628639221191406,1.0,0.038269996643066406,1.0,0.0026426315307617188
PersonWithASibling,1.0,0.004346370697021484,1.0,0.0019407272338867188,1.0,0.08019709587097168,1.0,0.0013704299926757812,1.0,0.003649473190307617,1.0,0.002411365509033203,1.0,0.05382895469665527,1.0,0.0024983882904052734
Uncle,,,,,0.9620253164556963,0.1348285675048828,,,0.8941176470588235,60.28527569770813,0.9047619047619047,10.372819662094116,0.8837209302325582,0.06202864646911621,0.9382716049382717,60.13628125190735
Granddaughter,1.0,0.0020105838775634766,1.0,0.001628875732421875,1.0,0.04582691192626953,1.0,0.0018477439880371094,1.0,0.06307721138000488,1.0,0.005945682525634766,1.0,0.04099154472351074,1.0,0.007309436798095703
Daughter,1.0,0.0021300315856933594,1.0,0.0015461444854736328,1.0,0.05384635925292969,1.0,0.001943349838256836,1.0,0.004106283187866211,1.0,0.0024945735931396484,1.0,0.04271554946899414,1.0,0.0024929046630859375
Grandgrandson,,,,,1.0,0.0540316104888916,,,1.0,5.57468318939209,1.0,0.19977140426635742,1.0,0.03834128379821777,1.0,0.22362422943115234
Sister,1.0,0.0027735233306884766,1.0,0.0016505718231201172,1.0,0.052414655685424805,1.0,0.0014677047729492188,1.0,0.009435653686523438,1.0,0.0023622512817382812,1.0,0.045810699462890625,1.0,0.0024433135986328125
Cousin,,,,,0.7974683544303797,0.09280872344970703,,,0.7208121827411168,60.20405626296997,0.7932960893854749,60.19730496406555,0.6666666666666666,0.06094622611999512,0.7932960893854749,60.015451431274414
Son,1.0,0.0026557445526123047,1.0,0.0017588138580322266,1.0,0.04944300651550293,1.0,0.0019218921661376953,1.0,0.027298927307128906,1.0,0.004013538360595703,1.0,0.03976082801818848,1.0,0.005297183990478516
