run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Brother,0,0_0_0,0.3333333333333333,0.5,1.0,0.900990099009901,0.3333333333333333,,,,,
0,Family,Brother,0,0_0_1,1.0,0.6,0.42857142857142855,0.801980198019802,0.42857142857142855,,,,,
0,Family,Brother,0,0_1_0,1.0,0.9090909090909091,0.8333333333333334,0.9702970297029703,0.8333333333333334,,,,,
0,Family,Brother,0,1_0_0,1.0,0.2631578947368421,0.15151515151515152,0.16831683168316833,0.15151515151515152,,,,,
0,Family,Brother,0,1_1_1,0.06666666666666667,0.05128205128205128,0.041666666666666664,0.6336633663366337,0.02631578947368421,,,,,
0,Family,Brother,5,0_0_0,0.26666666666666666,0.42105263157894735,1.0,0.8910891089108911,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,5,0_0_1,1.0,0.6451612903225806,0.47619047619047616,0.8366336633663366,0.47619047619047616,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,0_1_0,0.9666666666666667,0.8656716417910447,0.7837837837837838,0.9554455445544554,0.7631578947368421,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,5,1_0_0,1.0,0.2830188679245283,0.16483516483516483,0.24752475247524752,0.16483516483516483,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,5,1_1_1,0.03333333333333333,0.025,0.02,0.6138613861386139,0.012658227848101266,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,10,0_0_0,0.2,0.3333333333333333,1.0,0.8811881188118812,0.2,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,10,0_0_1,1.0,0.594059405940594,0.4225352112676056,0.7970297029702971,0.4225352112676056,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,10,0_1_0,0.9333333333333333,0.7671232876712328,0.6511627906976745,0.9158415841584159,0.6222222222222222,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333
0,Family,Brother,10,1_0_0,1.0,0.30612244897959184,0.18072289156626506,0.32673267326732675,0.18072289156626506,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,10,1_1_1,0.0,0.0,0.0,0.6386138613861386,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,0_0_0,0.26666666666666666,0.42105263157894735,1.0,0.8910891089108911,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,0_0_1,1.0,0.6,0.42857142857142855,0.801980198019802,0.42857142857142855,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,15,0_1_0,0.8666666666666667,0.7428571428571429,0.65,0.9108910891089109,0.5909090909090909,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,15,1_0_0,1.0,0.3125,0.18518518518518517,0.3465346534653465,0.18518518518518517,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,15,1_1_1,0.0,0.0,0.0,0.6435643564356436,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,20,0_0_0,0.13333333333333333,0.23529411764705882,1.0,0.8712871287128713,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,20,0_0_1,1.0,0.7142857142857143,0.5555555555555556,0.8811881188118812,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,20,0_1_0,0.8666666666666667,0.8,0.7428571428571429,0.9356435643564357,0.6666666666666666,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333
0,Family,Brother,20,1_0_0,1.0,0.4411764705882353,0.2830188679245283,0.6237623762376238,0.2830188679245283,1.0,1.0,1.0,1.0,1.0
0,Family,Brother,20,1_1_1,0.0,0.0,0.0,0.6683168316831684,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,25,0_0_0,0.1,0.18181818181818182,1.0,0.8663366336633663,0.1,0.0,0.0,0.0,0.0,0.0
0,Family,Brother,25,0_0_1,0.9666666666666667,0.7631578947368421,0.6304347826086957,0.9108910891089109,0.6170212765957447,0.8571428571428571,0.9230769230769231,1.0,0.8571428571428571,0.8571428571428571
0,Family,Brother,25,0_1_0,0.8666666666666667,0.8125,0.7647058823529411,0.9405940594059405,0.6842105263157895,0.42857142857142855,0.6,1.0,0.42857142857142855,0.42857142857142855
